,EOSUSDT,GLMRUSDT,spread,zscore
59,0.554,0.16501,-0.0020836999999999106,0.8041480628360478
60,0.563,0.16679,0.0009176999999999103,1.6988809079251803
61,0.556,0.16459,0.0013317000000000467,1.6009300179510997
62,0.556,0.16517,-0.0006228999999999818,0.7770978785117083
63,0.556,0.16443,0.0018709000000000087,1.522592966103934
64,0.554,0.1643,0.0003090000000000037,0.8142822508200088
65,0.553,0.16424,-0.0004887999999999559,0.4167041806473823
66,0.556,0.1648,0.0006240000000000689,0.7648387866932457
67,0.558,0.16539,0.0006357000000000168,0.665300247200893
68,0.557,0.16472,0.0018936000000000508,1.1374934644452273
69,0.556,0.16521,-0.0007576999999999723,-0.2726855690317254
70,0.559,0.1658,0.00025399999999997647,0.1216095531128556
71,0.56,0.16619,-6.030000000001312e-05,-0.09753195132258705
72,0.564,0.16617,0.00400709999999993,2.4168713480220902
73,0.566,0.16588,0.006984399999999891,2.7533928136459354
74,0.568,0.1661,0.00824299999999989,2.4268888284688477
75,0.567,0.16599,0.0076136999999999455,1.7736187829916887
76,0.566,0.16674,0.004086199999999929,0.5692004284146958
77,0.567,0.16672,0.005153599999999869,0.7952412601776323
78,0.565,0.16721,0.0015022999999999564,-0.37501576628377126
79,0.569,0.16764,0.004053199999999868,0.37254717431669326
80,0.564,0.16632,0.0035015999999999936,0.10994993393291112
81,0.565,0.16602,0.005512599999999979,0.6982471273333871
82,0.569,0.16689,0.006580699999999884,0.9370139736671211
83,0.566,0.16759,0.0012216999999999922,-0.9112856116267913
84,0.567,0.16701,0.004176299999999911,-0.004763024362939488
85,0.57,0.16725,0.006367499999999859,0.7352353401424492
86,0.574,0.16768,0.008918399999999993,1.6320425058420562
87,0.572,0.16746,0.007659799999999994,0.9493825368118071
88,0.572,0.16654,0.010760199999999998,1.8817653778051031
89,0.57,0.16554,0.01213019999999998,1.9861768475994144
90,0.568,0.1648,0.012623999999999969,1.789901661701486
91,0.566,0.16562,0.007860599999999995,0.37779147169920413
92,0.569,0.1658,0.010253999999999874,0.9356736050259539
93,0.568,0.16575,0.00942249999999989,0.6049454459979073
94,0.568,0.16585,0.009085499999999969,0.4172091722984381
95,0.562,0.16635,0.0014005000000000267,-1.7897623104163276
96,0.563,0.16592,0.0038495999999998975,-1.0219409263838974
97,0.563,0.1667,0.0012209999999999166,-1.5116336202862746
98,0.56,0.16531,0.0029052999999999995,-1.1571075731218874
99,0.565,0.16633,0.004467899999999858,-0.7486588139693052
100,0.566,0.1681,-0.0004970000000000807,-1.7235226186879629
101,0.565,0.168,-0.001160000000000161,-1.5664066801318273
102,0.565,0.1682,-0.0018340000000000023,-1.4490985870839006
103,0.568,0.16838,0.0005593999999998767,-0.8540206696452437
104,0.571,0.16833,0.003727899999999895,-0.11645061474683835
105,0.57,0.16875,0.0013124999999999387,-0.551163296176453
106,0.576,0.16945,0.004953499999999944,0.4301038985944277
107,0.573,0.17035,-0.001079500000000122,-1.0537086707383418
108,0.577,0.16953,0.005683899999999964,1.11557874949737
109,0.577,0.16975,0.00494249999999985,1.1604501757749148
110,0.581,0.17059,0.006111699999999942,1.389247192944143
111,0.576,0.17015,0.002594499999999944,0.12451672170981737
112,0.578,0.17129,0.0007526999999999395,-0.5475626036070949
113,0.577,0.17151,-0.0009887000000000645,-1.0520513802359235
114,0.576,0.17093,-3.410000000003688e-05,-0.6158954052383607
115,0.577,0.17122,-1.140000000010577e-05,-0.6249115967148365
