,sym1,sym2,p_value,t_value,c_value,hedge_ratio,zero_crossings
6202,STGUSDT,CELOUSDT,0.0,-5.22,-3.37,1.07,19
47,10000NFTUSDT,ALPHAUSDT,0.02,-3.68,-3.37,0.04,19
209,10000NFTUSDT,RPLUSDT,0.01,-3.88,-3.37,0.0,19
1574,BNTUSDT,OGUSDT,0.0,-4.41,-3.37,0.09,19
6554,TRXUSDT,XMRUSDT,0.01,-3.88,-3.37,0.0,19
54,10000NFTUSDT,ARBUSDT,0.02,-3.76,-3.37,0.0,19
6568,TWTUSDT,AMBUSDT,0.0,-4.64,-3.37,100.24,19
6572,TWTUSDT,APTUSDT,0.01,-4.11,-3.37,0.15,19
2442,CTCUSDT,ETHWUSDT,0.01,-3.84,-3.37,0.11,19
6589,TWTUSDT,BLURUSDT,0.02,-3.62,-3.37,4.53,19
6590,TWTUSDT,BLZUSDT,0.0,-4.54,-3.37,5.09,19
6173,STGUSDT,ARBUSDT,0.0,-5.6,-3.37,0.57,19
836,ALPHAUSDT,SANDUSDT,0.01,-4.0,-3.37,0.26,19
5324,OGUSDT,AMBUSDT,0.03,-3.54,-3.37,588.26,19
6243,STGUSDT,GFTUSDT,0.0,-5.99,-3.37,54.86,19
6502,TLMUSDT,ETHUSDT,0.04,-3.43,-3.37,0.0,19
5441,OPUSDT,KAVAUSDT,0.01,-3.8,-3.37,2.17,19
5730,QTUMUSDT,JSTUSDT,0.03,-3.56,-3.37,100.06,19
2372,CTCUSDT,AGIXUSDT,0.01,-4.1,-3.37,0.82,19
576,ADAUSDT,NEOUSDT,0.0,-4.31,-3.37,0.03,19
538,ACHUSDT,FLOWUSDT,0.04,-3.43,-3.37,0.03,19
6460,SWEATUSDT,TRUUSDT,0.04,-3.46,-3.37,0.21,19
6285,STGUSDT,LRCUSDT,0.0,-6.19,-3.37,2.59,19
2365,CTCUSDT,1000FLOKIUSDT,0.02,-3.76,-3.37,9.25,19
2972,DOGEUSDT,CFXUSDT,0.04,-3.46,-3.37,0.52,19
5659,QNTUSDT,NEOUSDT,0.03,-3.59,-3.37,12.69,19
2821,CYBERUSDT,VGXUSDT,0.0,-4.32,-3.37,39.72,19
2982,DOGEUSDT,EOSUSDT,0.0,-4.98,-3.37,0.11,19
2819,CYBERUSDT,USDCUSDT,0.0,-4.78,-3.37,5.08,19
5700,QNTUSDT,TLMUSDT,0.03,-3.55,-3.37,9298.61,19
5390,OPUSDT,AXSUSDT,0.03,-3.53,-3.37,0.3,19
6266,STGUSDT,IOTXUSDT,0.0,-5.65,-3.37,30.08,19
2348,CRVUSDT,FLOWUSDT,0.03,-3.58,-3.37,0.98,19
6264,STGUSDT,IOSTUSDT,0.0,-5.68,-3.37,65.64,19
2488,CTCUSDT,LINAUSDT,0.01,-4.04,-3.37,14.03,19
2998,DOGEUSDT,LQTYUSDT,0.01,-3.83,-3.37,0.08,19
808,ALPHAUSDT,HFTUSDT,0.03,-3.58,-3.37,0.25,19
5717,QNTUSDT,XNOUSDT,0.04,-3.46,-3.37,150.39,19
2803,CYBERUSDT,STGUSDT,0.0,-7.33,-3.37,11.03,19
4891,MINAUSDT,ANKRUSDT,0.04,-3.38,-3.37,20.39,19
3161,ENJUSDT,XVGUSDT,0.02,-3.59,-3.37,67.87,19
39,10000NFTUSDT,ACHUSDT,0.02,-3.69,-3.37,0.23,19
4265,IDEXUSDT,LINAUSDT,0.02,-3.77,-3.37,4.34,19
7074,YFIIUSDT,AGLDUSDT,0.02,-3.65,-3.37,773.96,19
3388,ETHWUSDT,OGUSDT,0.01,-3.91,-3.37,0.28,19
7338,ZECUSDT,PEOPLEUSDT,0.03,-3.5,-3.37,2758.37,19
7084,YFIIUSDT,ARBUSDT,0.01,-4.1,-3.37,530.41,19
7087,YFIIUSDT,ARPAUSDT,0.02,-3.62,-3.37,9699.35,19
4256,IDEXUSDT,AMBUSDT,0.01,-4.08,-3.37,5.75,19
3404,ETHWUSDT,RPLUSDT,0.01,-3.91,-3.37,0.06,19
4523,IOTXUSDT,SFPUSDT,0.01,-3.8,-3.37,0.03,19
7327,ZECUSDT,HFTUSDT,0.03,-3.48,-3.37,81.64,19
1325,ATAUSDT,GALAUSDT,0.01,-3.92,-3.37,5.23,19
4510,IOSTUSDT,SWEATUSDT,0.04,-3.42,-3.37,0.99,19
4503,INJUSDT,XRPUSDT,0.01,-3.9,-3.37,14.41,19
4499,INJUSDT,MATICUSDT,0.0,-4.29,-3.37,13.58,19
324,1000BTTUSDT,ONEUSDT,0.0,-4.21,-3.37,0.04,19
1168,API3USDT,XEMUSDT,0.01,-4.02,-3.37,42.16,19
7104,YFIIUSDT,BLZUSDT,0.01,-4.03,-3.37,2732.2,19
1160,API3USDT,TRXUSDT,0.01,-3.97,-3.37,12.83,19
7303,ZECUSDT,10000LADYSUSDT,0.03,-3.52,-3.37,76289.52,19
1349,ATAUSDT,TUSDT,0.0,-4.62,-3.37,4.35,19
3584,FORTHUSDT,HOOKUSDT,0.01,-3.96,-3.37,3.43,19
4586,KSMUSDT,PENDLEUSDT,0.03,-3.52,-3.37,31.56,19
4206,ICPUSDT,INJUSDT,0.04,-3.47,-3.37,0.42,19
4632,LINAUSDT,TRBUSDT,0.03,-3.54,-3.37,0.0,19
4628,LINAUSDT,NEARUSDT,0.0,-4.15,-3.37,0.01,19
401,1000FLOKIUSDT,JOEUSDT,0.01,-3.92,-3.37,0.07,19
4110,GPTUSDT,XLMUSDT,0.01,-4.01,-3.37,0.08,19
4626,LINAUSDT,LRCUSDT,0.02,-3.63,-3.37,0.06,19
299,1000BTTUSDT,GLMUSDT,0.01,-3.93,-3.37,0.0,19
4127,GRTUSDT,PENDLEUSDT,0.04,-3.45,-3.37,0.14,19
7391,ZILUSDT,BLURUSDT,0.0,-12.57,-3.37,0.09,19
3609,FTMUSDT,BNXUSDT,0.04,-3.44,-3.37,0.92,19
7051,XVSUSDT,UNIUSDT,0.0,-4.13,-3.37,1.04,19
4621,LINAUSDT,ENSUSDT,0.04,-3.47,-3.37,0.0,19
7057,XVSUSDT,XNOUSDT,0.01,-3.95,-3.37,7.26,19
7371,ZILUSDT,AMBUSDT,0.0,-13.22,-3.37,2.03,19
1898,BUSDUSDT,RNDRUSDT,0.0,-4.91,-3.37,0.64,19
4194,ICPUSDT,CELOUSDT,0.03,-3.48,-3.37,6.91,19
106,10000NFTUSDT,DODOUSDT,0.02,-3.74,-3.37,0.04,19
7068,YFIIUSDT,1000PEPEUSDT,0.02,-3.75,-3.37,641660.83,19
7297,YGGUSDT,SWEATUSDT,0.02,-3.61,-3.37,28.31,19
3545,FLRUSDT,OPUSDT,0.02,-3.68,-3.37,0.01,19
1937,C98USDT,PENDLEUSDT,0.01,-3.93,-3.37,0.23,19
3448,ETHWUSDT,ZILUSDT,0.0,-4.47,-3.37,81.23,19
1078,API3USDT,BCHUSDT,0.01,-4.09,-3.37,0.01,19
6,10000LADYSUSDT,DASHUSDT,0.03,-3.49,-3.37,0.0,19
1980,CEEKUSDT,BNBUSDT,0.03,-3.49,-3.37,0.0,19
4381,ILVUSDT,HBARUSDT,0.01,-3.9,-3.37,812.18,19
7166,YFIIUSDT,IDEXUSDT,0.0,-4.57,-3.37,9367.67,19
1095,API3USDT,DOGEUSDT,0.03,-3.55,-3.37,17.14,19
2016,CEEKUSDT,EOSUSDT,0.0,-4.61,-3.37,0.07,19
4407,ILVUSDT,LOOKSUSDT,0.04,-3.43,-3.37,739.79,19
1986,CEEKUSDT,CELOUSDT,0.01,-3.9,-3.37,0.09,19
1353,ATAUSDT,VETUSDT,0.04,-3.4,-3.37,4.45,19
1357,ATAUSDT,XRPUSDT,0.02,-3.62,-3.37,0.15,19
1992,CEEKUSDT,COMPUSDT,0.01,-3.82,-3.37,0.0,19
3481,FLOWUSDT,MKRUSDT,0.0,-4.18,-3.37,0.0,19
3479,FLOWUSDT,ALGOUSDT,0.04,-3.41,-3.37,4.6,19
7207,YFIIUSDT,OGUSDT,0.0,-4.35,-3.37,91.51,19
3478,FITFIUSDT,PROMUSDT,0.0,-4.21,-3.37,0.0,19
7195,YFIIUSDT,MASKUSDT,0.01,-4.07,-3.37,167.71,19
7233,YFIIUSDT,SOLUSDT,0.01,-4.08,-3.37,22.64,19
93,10000NFTUSDT,COTIUSDT,0.02,-3.68,-3.37,0.08,19
101,10000NFTUSDT,CYBERUSDT,0.02,-3.73,-3.37,0.0,19
4425,ILVUSDT,OGNUSDT,0.04,-3.47,-3.37,438.85,19
1154,API3USDT,SUSHIUSDT,0.01,-3.91,-3.37,1.73,19
180,10000NFTUSDT,MDTUSDT,0.01,-3.87,-3.37,0.08,19
4318,ILVUSDT,ATOMUSDT,0.0,-7.83,-3.37,5.89,19
1036,APEUSDT,SUNUSDT,0.02,-3.7,-3.37,212.68,19
7271,YFIUSDT,ZRXUSDT,0.01,-4.1,-3.37,30204.92,19
4322,ILVUSDT,BADGERUSDT,0.0,-12.03,-3.37,19.66,19
1144,API3USDT,QTUMUSDT,0.01,-4.03,-3.37,0.49,19
1351,ATAUSDT,UMAUSDT,0.0,-5.33,-3.37,0.06,19
1955,CEEKUSDT,ALPACAUSDT,0.01,-3.82,-3.37,0.29,19
4327,ILVUSDT,BCHUSDT,0.0,-7.99,-3.37,0.19,19
4335,ILVUSDT,BTCUSDT,0.02,-3.7,-3.37,0.0,19
342,1000BTTUSDT,SOLUSDT,0.0,-4.46,-3.37,0.0,19
3423,ETHWUSDT,TOMOUSDT,0.01,-3.78,-3.37,1.08,19
1061,API3USDT,10000LADYSUSDT,0.03,-3.48,-3.37,3163.83,19
98,10000NFTUSDT,CTSIUSDT,0.02,-3.68,-3.37,0.03,19
3509,FLRUSDT,COMPUSDT,0.02,-3.67,-3.37,0.0,19
4374,ILVUSDT,FORTHUSDT,0.03,-3.59,-3.37,14.86,19
4026,GPTUSDT,KDAUSDT,0.0,-4.11,-3.37,0.02,19
4142,HFTUSDT,USDCUSDT,0.02,-3.75,-3.37,0.31,19
3316,ETHWUSDT,DYDXUSDT,0.02,-3.62,-3.37,0.67,19
1832,BUSDUSDT,ACHUSDT,0.01,-3.92,-3.37,67.56,19
1835,BUSDUSDT,ARBUSDT,0.03,-3.5,-3.37,1.24,19
6978,XVSUSDT,BTCUSDT,0.0,-4.23,-3.37,0.0,19
6981,XVSUSDT,CKBUSDT,0.0,-4.19,-3.37,1643.14,19
3312,ETHWUSDT,DODOUSDT,0.02,-3.75,-3.37,13.89,19
4763,LRCUSDT,OPUSDT,0.02,-3.75,-3.37,0.13,19
7473,ZILUSDT,NEARUSDT,0.0,-10.28,-3.37,0.01,19
3708,GALAUSDT,DENTUSDT,0.03,-3.55,-3.37,23.54,19
3704,GALAUSDT,CHZUSDT,0.0,-4.18,-3.37,0.25,19
6988,XVSUSDT,DYDXUSDT,0.01,-4.03,-3.37,2.29,19
973,APEUSDT,FXSUSDT,0.05,-3.37,-3.37,0.21,19
3905,GLMUSDT,ZECUSDT,0.01,-3.93,-3.37,0.01,19
1850,BUSDUSDT,CTSIUSDT,0.02,-3.69,-3.37,7.99,19
3688,GALAUSDT,ANKRUSDT,0.0,-4.51,-3.37,0.78,19
3953,GPTUSDT,BNXUSDT,0.0,-4.5,-3.37,0.04,19
3954,GPTUSDT,BOBAUSDT,0.0,-5.47,-3.37,0.08,19
7475,ZILUSDT,NKNUSDT,0.0,-11.95,-3.37,0.19,19
3719,GALAUSDT,GLMUSDT,0.0,-4.38,-3.37,0.08,19
4701,LQTYUSDT,MAGICUSDT,0.02,-3.67,-3.37,1.69,19
1823,BTCUSDT,HFTUSDT,0.02,-3.67,-3.37,84501.59,19
1799,BSWUSDT,ROSEUSDT,0.04,-3.39,-3.37,1.56,19
3771,GALAUSDT,SWEATUSDT,0.0,-4.33,-3.37,2.03,19
4857,MATICUSDT,ATAUSDT,0.02,-3.71,-3.37,6.93,19
3788,GALAUSDT,XMRUSDT,0.02,-3.67,-3.37,0.0,19
3793,GALAUSDT,YFIUSDT,0.01,-4.01,-3.37,0.0,19
3795,GALAUSDT,ZENUSDT,0.03,-3.51,-3.37,0.0,19
3742,GALAUSDT,MASKUSDT,0.0,-4.43,-3.37,0.01,19
4811,LUNA2USDT,DARUSDT,0.03,-3.58,-3.37,4.54,19
7509,ZILUSDT,TRXUSDT,0.0,-6.02,-3.37,0.2,19
3293,ETHWUSDT,BNXUSDT,0.02,-3.76,-3.37,6.24,19
3737,GALAUSDT,LQTYUSDT,0.0,-4.6,-3.37,0.02,19
3736,GALAUSDT,LITUSDT,0.03,-3.58,-3.37,0.02,19
1389,AUDIOUSDT,EDUUSDT,0.01,-3.79,-3.37,0.35,19
3727,GALAUSDT,IOSTUSDT,0.0,-4.8,-3.37,2.05,19
7502,ZILUSDT,SUNUSDT,0.0,-5.78,-3.37,3.02,19
3681,FXSUSDT,TLMUSDT,0.03,-3.51,-3.37,533.4,19
352,1000BTTUSDT,XLMUSDT,0.01,-3.94,-3.37,0.0,19
2090,CEEKUSDT,OPUSDT,0.0,-4.22,-3.37,0.03,19
1320,ATAUSDT,DYDXUSDT,0.04,-3.44,-3.37,0.04,19
1870,BUSDUSDT,HFTUSDT,0.0,-4.39,-3.37,3.2,19
7023,XVSUSDT,LRCUSDT,0.02,-3.72,-3.37,25.02,19
3331,ETHWUSDT,GALAUSDT,0.02,-3.59,-3.37,91.06,19
3344,ETHWUSDT,HOTUSDT,0.02,-3.7,-3.37,1244.7,19
7011,XVSUSDT,JASMYUSDT,0.01,-3.93,-3.37,1268.86,19
3966,GPTUSDT,COMPUSDT,0.01,-3.88,-3.37,0.0,19
4645,LITUSDT,BNBUSDT,0.04,-3.42,-3.37,0.0,19
7426,ZILUSDT,FETUSDT,0.0,-5.54,-3.37,0.07,19
4679,LOOKSUSDT,USDCUSDT,0.01,-3.9,-3.37,0.05,19
988,APEUSDT,ILVUSDT,0.0,-4.21,-3.37,0.03,19
5429,OPUSDT,GRTUSDT,0.01,-3.87,-3.37,16.25,18
5433,OPUSDT,ICPUSDT,0.01,-3.84,-3.37,0.46,18
1562,BNBUSDT,RADUSDT,0.0,-4.64,-3.37,159.9,18
2739,CYBERUSDT,KAVAUSDT,0.0,-4.57,-3.37,8.06,18
2832,CYBERUSDT,YFIIUSDT,0.0,-4.28,-3.37,0.01,18
7387,ZILUSDT,BANDUSDT,0.0,-4.35,-3.37,0.02,18
2777,CYBERUSDT,OXTUSDT,0.0,-4.38,-3.37,75.78,18
5442,OPUSDT,KEYUSDT,0.03,-3.54,-3.37,242.9,18
2002,CEEKUSDT,CYBERUSDT,0.04,-3.43,-3.37,0.01,18
7383,ZILUSDT,AXSUSDT,0.0,-11.72,-3.37,0.0,18
2661,CYBERUSDT,BNBUSDT,0.0,-4.6,-3.37,0.02,18
6068,SLPUSDT,RSRUSDT,0.0,-4.31,-3.37,0.73,18
4350,ILVUSDT,CTKUSDT,0.02,-3.61,-3.37,88.33,18
2773,CYBERUSDT,OMGUSDT,0.0,-4.42,-3.37,11.5,18
2779,CYBERUSDT,PENDLEUSDT,0.0,-4.23,-3.37,8.61,18
2816,CYBERUSDT,TWTUSDT,0.01,-3.81,-3.37,6.39,18
3482,FLOWUSDT,ONEUSDT,0.01,-3.91,-3.37,44.95,18
6500,TLMUSDT,DASHUSDT,0.02,-3.69,-3.37,0.0,18
7527,ZILUSDT,ZENUSDT,0.0,-11.98,-3.37,0.0,18
2801,CYBERUSDT,SOLUSDT,0.0,-4.36,-3.37,0.27,18
2624,CYBERUSDT,1INCHUSDT,0.0,-4.25,-3.37,20.85,18
2808,CYBERUSDT,SWEATUSDT,0.0,-4.88,-3.37,716.64,18
2627,CYBERUSDT,ADAUSDT,0.0,-4.43,-3.37,20.33,18
1806,BSWUSDT,SUIUSDT,0.04,-3.38,-3.37,0.14,18
2815,CYBERUSDT,TUSDT,0.0,-4.32,-3.37,293.64,18
3485,FLOWUSDT,RNDRUSDT,0.03,-3.52,-3.37,0.28,18
1088,API3USDT,COMBOUSDT,0.0,-4.39,-3.37,2.01,18
2780,CYBERUSDT,PEOPLEUSDT,0.0,-4.17,-3.37,549.14,18
5417,OPUSDT,DOGEUSDT,0.01,-4.01,-3.37,22.14,18
5422,OPUSDT,EOSUSDT,0.0,-4.21,-3.37,2.42,18
4336,ILVUSDT,BUSDUSDT,0.0,-12.19,-3.37,40.45,18
147,10000NFTUSDT,ILVUSDT,0.02,-3.73,-3.37,0.0,18
6438,SUSHIUSDT,ICXUSDT,0.05,-3.38,-3.37,3.7,18
2,10000LADYSUSDT,CHZUSDT,0.04,-3.43,-3.37,0.01,18
5459,OPUSDT,ONTUSDT,0.01,-4.03,-3.37,8.48,18
2699,CYBERUSDT,ETHUSDT,0.0,-4.4,-3.37,0.0,18
2754,CYBERUSDT,LTCUSDT,0.0,-4.32,-3.37,0.08,18
7357,ZILUSDT,10000LADYSUSDT,0.0,-10.12,-3.37,48.11,18
7457,ZILUSDT,KSMUSDT,0.0,-11.65,-3.37,0.0,18
2712,CYBERUSDT,GLMRUSDT,0.0,-5.25,-3.37,30.35,18
31,10000NFTUSDT,1000BONKUSDT,0.02,-3.73,-3.37,16.57,18
2718,CYBERUSDT,HBARUSDT,0.0,-4.37,-3.37,101.91,18
7435,ZILUSDT,GMTUSDT,0.0,-12.03,-3.37,0.11,18
1350,ATAUSDT,TWTUSDT,0.04,-3.39,-3.37,0.09,18
4267,IDEXUSDT,LQTYUSDT,0.02,-3.66,-3.37,0.06,18
601,AKROUSDT,ASTRUSDT,0.01,-3.89,-3.37,0.21,18
2732,CYBERUSDT,IOSTUSDT,0.0,-4.27,-3.37,724.12,18
6154,STGUSDT,1000PEPEUSDT,0.0,-5.96,-3.37,692.12,18
2752,CYBERUSDT,LQTYUSDT,0.0,-4.2,-3.37,6.38,18
1580,BNTUSDT,XTZUSDT,0.01,-3.93,-3.37,0.62,18
2789,CYBERUSDT,RNDRUSDT,0.0,-4.14,-3.37,3.27,18
1547,BLURUSDT,GALAUSDT,0.03,-3.5,-3.37,12.22,18
2690,CYBERUSDT,DOTUSDT,0.0,-4.36,-3.37,1.25,18
6428,SUIUSDT,ZECUSDT,0.02,-3.68,-3.37,0.02,18
5466,OPUSDT,SEIUSDT,0.03,-3.49,-3.37,11.16,18
4253,ICXUSDT,XVSUSDT,0.02,-3.64,-3.37,0.04,18
5890,RNDRUSDT,PENDLEUSDT,0.01,-3.78,-3.37,2.64,18
2673,CYBERUSDT,CKBUSDT,0.0,-4.36,-3.37,1877.49,18
5475,OPUSDT,THETAUSDT,0.0,-4.29,-3.37,2.28,18
5768,RADUSDT,THETAUSDT,0.03,-3.55,-3.37,2.22,18
6425,SUIUSDT,XTZUSDT,0.02,-3.76,-3.37,0.67,18
267,1000BTTUSDT,ARPAUSDT,0.05,-3.37,-3.37,0.01,18
7412,ZILUSDT,CVCUSDT,0.0,-12.92,-3.37,0.23,18
7474,ZILUSDT,NEOUSDT,0.0,-4.61,-3.37,0.0,18
184,10000NFTUSDT,NEARUSDT,0.02,-3.69,-3.37,0.0,18
4321,ILVUSDT,AXSUSDT,0.0,-11.68,-3.37,9.0,18
6413,SUIUSDT,SNXUSDT,0.04,-3.41,-3.37,0.21,18
1900,BUSDUSDT,RSRUSDT,0.04,-3.4,-3.37,533.16,18
2794,CYBERUSDT,SANDUSDT,0.0,-4.26,-3.37,17.15,18
6950,XVGUSDT,LOOKSUSDT,0.03,-3.49,-3.37,0.06,18
3476,FITFIUSDT,MCUSDT,0.02,-3.74,-3.37,0.01,18
6624,TWTUSDT,FXSUSDT,0.0,-4.29,-3.37,0.15,18
19,10000LADYSUSDT,MASKUSDT,0.04,-3.41,-3.37,0.0,18
477,1000XECUSDT,FITFIUSDT,0.0,-4.52,-3.37,7.2,18
6586,TWTUSDT,BATUSDT,0.01,-4.01,-3.37,4.67,18
3228,ETCUSDT,XTZUSDT,0.02,-3.72,-3.37,23.31,18
2121,CEEKUSDT,SWEATUSDT,0.0,-4.24,-3.37,5.29,18
4616,LINAUSDT,ANKRUSDT,0.01,-3.93,-3.37,0.57,18
6592,TWTUSDT,BNTUSDT,0.0,-5.08,-3.37,1.96,18
4471,ILVUSDT,USDCUSDT,0.01,-3.91,-3.37,40.44,18
6599,TWTUSDT,CKBUSDT,0.0,-4.69,-3.37,293.9,18
6605,TWTUSDT,DARUSDT,0.01,-4.06,-3.37,9.17,18
6699,TWTUSDT,THETAUSDT,0.0,-5.47,-3.37,1.32,18
428,1000FLOKIUSDT,SWEATUSDT,0.04,-3.38,-3.37,2.25,18
6897,WOOUSDT,GRTUSDT,0.02,-3.75,-3.37,1.94,18
482,1000XECUSDT,LEVERUSDT,0.0,-5.51,-3.37,18.05,18
3117,DYDXUSDT,SUSHIUSDT,0.04,-3.44,-3.37,3.17,18
1020,APEUSDT,PERPUSDT,0.02,-3.72,-3.37,1.83,18
2053,CEEKUSDT,JOEUSDT,0.03,-3.53,-3.37,0.15,18
5159,OCEANUSDT,NMRUSDT,0.01,-4.08,-3.37,0.02,18
5156,OCEANUSDT,NEARUSDT,0.02,-3.65,-3.37,0.28,18
2105,CEEKUSDT,RPLUSDT,0.0,-4.69,-3.37,0.0,18
2047,CEEKUSDT,ILVUSDT,0.01,-3.95,-3.37,0.0,18
205,10000NFTUSDT,REEFUSDT,0.01,-4.0,-3.37,2.59,18
3059,DOTUSDT,RADUSDT,0.03,-3.5,-3.37,3.05,18
7002,XVSUSDT,HIGHUSDT,0.02,-3.75,-3.37,3.34,18
7103,YFIIUSDT,BLURUSDT,0.02,-3.75,-3.37,2432.61,18
4493,IMXUSDT,XVSUSDT,0.0,-4.9,-3.37,0.12,18
6657,TWTUSDT,LTCUSDT,0.0,-4.97,-3.37,0.01,18
7004,XVSUSDT,HOOKUSDT,0.0,-4.7,-3.37,5.6,18
2243,COMBOUSDT,XVSUSDT,0.03,-3.56,-3.37,0.12,18
5231,OGNUSDT,ARBUSDT,0.02,-3.74,-3.37,0.11,18
5277,OGNUSDT,LOOKSUSDT,0.05,-3.38,-3.37,1.68,18
2334,CROUSDT,SWEATUSDT,0.0,-4.31,-3.37,7.18,18
1441,BADGERUSDT,RSRUSDT,0.02,-3.74,-3.37,1097.36,18
514,AAVEUSDT,AUCTIONUSDT,0.02,-3.71,-3.37,11.93,18
17,10000LADYSUSDT,LQTYUSDT,0.04,-3.38,-3.37,0.0,18
4624,LINAUSDT,HBARUSDT,0.03,-3.5,-3.37,0.21,18
3467,FILUSDT,JSTUSDT,0.01,-4.0,-3.37,151.92,18
7050,XVSUSDT,TUSDT,0.0,-4.57,-3.37,257.08,18
6724,TWTUSDT,ZILUSDT,0.01,-4.05,-3.37,49.39,18
6551,TRXUSDT,UNIUSDT,0.02,-3.68,-3.37,0.02,18
358,1000FLOKIUSDT,1000BONKUSDT,0.04,-3.4,-3.37,77.22,18
3133,EDUUSDT,XVSUSDT,0.0,-4.26,-3.37,0.1,18
2230,COMBOUSDT,CVCUSDT,0.02,-3.6,-3.37,7.46,18
4411,ILVUSDT,LUNA2USDT,0.01,-3.91,-3.37,102.8,18
3475,FITFIUSDT,LOOKSUSDT,0.02,-3.62,-3.37,0.06,18
1435,BADGERUSDT,COMBOUSDT,0.04,-3.45,-3.37,3.91,18
1437,BADGERUSDT,FLOWUSDT,0.03,-3.52,-3.37,4.76,17
5109,OCEANUSDT,DYDXUSDT,0.0,-4.8,-3.37,0.16,17
892,AMBUSDT,ZECUSDT,0.02,-3.72,-3.37,0.0,17
3171,ENSUSDT,QTUMUSDT,0.03,-3.48,-3.37,3.48,17
2740,CYBERUSDT,KDAUSDT,0.0,-4.34,-3.37,10.03,17
3142,EGLDUSDT,XVSUSDT,0.0,-4.37,-3.37,5.54,17
4706,LQTYUSDT,ONTUSDT,0.04,-3.41,-3.37,4.94,17
5092,OCEANUSDT,CELRUSDT,0.04,-3.44,-3.37,27.5,17
3996,GPTUSDT,FXSUSDT,0.0,-4.11,-3.37,0.0,17
885,AMBUSDT,SUIUSDT,0.03,-3.49,-3.37,0.02,17
2736,CYBERUSDT,JOEUSDT,0.0,-4.2,-3.37,21.0,17
2791,CYBERUSDT,RPLUSDT,0.0,-4.37,-3.37,0.23,17
877,AMBUSDT,LQTYUSDT,0.01,-3.77,-3.37,0.01,17
4007,GPTUSDT,HIGHUSDT,0.0,-4.23,-3.37,0.01,17
5191,OCEANUSDT,SUIUSDT,0.01,-3.86,-3.37,0.71,17
1427,AVAXUSDT,SFPUSDT,0.0,-4.68,-3.37,15.71,17
4004,GPTUSDT,HBARUSDT,0.01,-3.84,-3.37,0.18,17
881,AMBUSDT,OMGUSDT,0.04,-3.45,-3.37,0.02,17
3680,FXSUSDT,NEARUSDT,0.03,-3.57,-3.37,4.78,17
3158,ENJUSDT,TWTUSDT,0.01,-3.77,-3.37,0.29,17
723,ALICEUSDT,ROSEUSDT,0.04,-3.42,-3.37,18.83,17
3665,FTMUSDT,UMAUSDT,0.01,-4.03,-3.37,0.14,17
5172,OCEANUSDT,QNTUSDT,0.04,-3.47,-3.37,0.0,17
5183,OCEANUSDT,SEIUSDT,0.0,-4.38,-3.37,2.57,17
4666,LITUSDT,XMRUSDT,0.04,-3.45,-3.37,0.0,17
3672,FTMUSDT,ZECUSDT,0.01,-3.86,-3.37,0.01,17
74,10000NFTUSDT,BLZUSDT,0.02,-3.69,-3.37,0.02,17
883,AMBUSDT,SLPUSDT,0.02,-3.72,-3.37,5.78,17
3932,GPTUSDT,ARKMUSDT,0.0,-5.68,-3.37,0.03,17
5187,OCEANUSDT,SOLUSDT,0.0,-5.08,-3.37,0.02,17
3664,FTMUSDT,TWTUSDT,0.03,-3.52,-3.37,0.24,17
4680,LPTUSDT,1000BONKUSDT,0.03,-3.48,-3.37,28823.59,17
1318,ATAUSDT,DOGEUSDT,0.0,-4.4,-3.37,1.22,17
3990,GPTUSDT,FITFIUSDT,0.0,-5.7,-3.37,2.77,17
3337,ETHWUSDT,GPTUSDT,0.01,-4.04,-3.37,141.84,17
3168,ENSUSDT,MANAUSDT,0.0,-4.25,-3.37,25.96,17
5781,REEFUSDT,1000BTTUSDT,0.03,-3.48,-3.37,3.39,17
717,ALICEUSDT,ONEUSDT,0.0,-4.19,-3.37,78.62,17
3677,FXSUSDT,KASUSDT,0.0,-4.94,-3.37,113.04,17
1579,BNTUSDT,WOOUSDT,0.03,-3.5,-3.37,2.49,17
1592,BNXUSDT,USDCUSDT,0.02,-3.75,-3.37,0.21,17
2728,CYBERUSDT,IDUSDT,0.0,-4.66,-3.37,24.32,17
3929,GPTUSDT,ANTUSDT,0.0,-4.95,-3.37,0.0,17
4989,NEARUSDT,PHBUSDT,0.01,-3.87,-3.37,1.96,17
688,ALICEUSDT,BUSDUSDT,0.03,-3.52,-3.37,0.75,17
1297,ARUSDT,SWEATUSDT,0.03,-3.52,-3.37,594.41,17
4986,NEARUSDT,OMGUSDT,0.04,-3.44,-3.37,2.5,17
954,APEUSDT,DARUSDT,0.03,-3.57,-3.37,13.06,17
1257,ARBUSDT,USDCUSDT,0.01,-4.02,-3.37,0.8,17
5905,RNDRUSDT,USDCUSDT,0.02,-3.76,-3.37,1.55,17
3735,GALAUSDT,LINAUSDT,0.01,-3.96,-3.37,1.37,17
5906,RNDRUSDT,VETUSDT,0.01,-4.08,-3.37,92.0,17
917,APEUSDT,AGIXUSDT,0.03,-3.54,-3.37,6.3,17
4978,NEARUSDT,GLMUSDT,0.04,-3.43,-3.37,6.5,17
676,ALICEUSDT,AMBUSDT,0.03,-3.56,-3.37,95.23,17
4973,NEARUSDT,CKBUSDT,0.02,-3.66,-3.37,408.83,17
3835,GLMRUSDT,IOSTUSDT,0.01,-4.03,-3.37,23.86,17
3824,GLMRUSDT,ETCUSDT,0.03,-3.54,-3.37,0.01,17
