,sym1,sym2,p_value,t_value,c_value,hedge_ratio,zero_crossings
5221,OCEANUSDT,ZENUSDT,0.0,-5.28,-3.37,0.04,5
776,ALPHAUSDT,AKROUSDT,0.01,-3.79,-3.37,7.04,5
4974,NEARUSDT,COMBOUSDT,0.02,-3.69,-3.37,2.1,5
3137,EGLDUSDT,PROMUSDT,0.03,-3.53,-3.37,6.26,5
1511,BANDUSDT,PAXGUSDT,0.03,-3.49,-3.37,0.0,5
5827,RLCUSDT,IDUSDT,0.04,-3.46,-3.37,4.88,5
5549,QNTUSDT,ANTUSDT,0.0,-4.39,-3.37,21.75,5
1438,BADGERUSDT,KNCUSDT,0.02,-3.67,-3.37,3.68,5
2996,DOGEUSDT,KLAYUSDT,0.04,-3.41,-3.37,0.51,5
603,AKROUSDT,AUDIOUSDT,0.04,-3.42,-3.37,0.07,5
1625,BOBAUSDT,EGLDUSDT,0.01,-3.83,-3.37,0.0,5
4979,NEARUSDT,GMTUSDT,0.04,-3.42,-3.37,7.31,5
5835,RLCUSDT,LTCUSDT,0.03,-3.53,-3.37,0.02,5
2544,CTCUSDT,STORJUSDT,0.0,-4.94,-3.37,0.42,5
605,AKROUSDT,BOBAUSDT,0.02,-3.61,-3.37,0.09,5
4980,NEARUSDT,ICXUSDT,0.02,-3.61,-3.37,6.69,5
607,AKROUSDT,CFXUSDT,0.03,-3.49,-3.37,0.09,5
5665,QNTUSDT,OPUSDT,0.01,-3.86,-3.37,67.38,5
2547,CTCUSDT,SUSHIUSDT,0.0,-4.41,-3.37,0.24,5
5135,OCEANUSDT,IOTAUSDT,0.0,-4.75,-3.37,1.98,5
5573,QNTUSDT,BNBUSDT,0.0,-4.4,-3.37,0.43,5
5686,QNTUSDT,SFPUSDT,0.01,-4.09,-3.37,155.97,5
5048,NKNUSDT,VETUSDT,0.02,-3.73,-3.37,5.07,5
2609,CVCUSDT,SNXUSDT,0.02,-3.73,-3.37,0.03,5
5973,SHIB1000USDT,ORDIUSDT,0.02,-3.62,-3.37,0.0,5
5967,SHIB1000USDT,IOTAUSDT,0.03,-3.54,-3.37,0.05,5
2611,CVCUSDT,UMAUSDT,0.02,-3.6,-3.37,0.05,5
156,10000NFTUSDT,KASUSDT,0.02,-3.67,-3.37,0.07,5
155,10000NFTUSDT,JSTUSDT,0.01,-3.78,-3.37,0.16,5
5079,OCEANUSDT,AUDIOUSDT,0.0,-5.06,-3.37,2.11,5
5072,OCEANUSDT,ARKMUSDT,0.0,-4.4,-3.37,0.88,5
1539,BCHUSDT,TRXUSDT,0.01,-3.99,-3.37,2528.94,5
160,10000NFTUSDT,KLAYUSDT,0.02,-3.71,-3.37,0.03,5
5595,QNTUSDT,DASHUSDT,0.01,-4.07,-3.37,3.56,5
2630,CYBERUSDT,AKROUSDT,0.0,-4.36,-3.37,467.17,5
1423,AVAXUSDT,MCUSDT,0.03,-3.56,-3.37,31.65,5
901,ANKRUSDT,LRCUSDT,0.03,-3.52,-3.37,0.1,5
893,ANKRUSDT,AKROUSDT,0.04,-3.45,-3.37,1.7,5
643,AKROUSDT,TRXUSDT,0.02,-3.63,-3.37,0.13,5
43,10000NFTUSDT,AKROUSDT,0.02,-3.69,-3.37,0.31,5
5605,QNTUSDT,ENSUSDT,0.0,-4.64,-3.37,12.34,5
5993,SLPUSDT,AUCTIONUSDT,0.01,-3.81,-3.37,0.0,5
2861,DARUSDT,EGLDUSDT,0.03,-3.54,-3.37,0.0,5
5989,SLPUSDT,ARKMUSDT,0.02,-3.66,-3.37,0.0,5
2602,CVCUSDT,GALAUSDT,0.04,-3.39,-3.37,4.9,5
646,AKROUSDT,VETUSDT,0.01,-3.82,-3.37,0.64,5
2966,DOGEUSDT,ARKMUSDT,0.03,-3.48,-3.37,0.17,5
2973,DOGEUSDT,CHZUSDT,0.02,-3.7,-3.37,1.07,5
1609,BOBAUSDT,BTCUSDT,0.02,-3.63,-3.37,0.0,5
2601,CVCUSDT,DOTUSDT,0.01,-3.97,-3.37,0.02,5
139,10000NFTUSDT,HIGHUSDT,0.02,-3.68,-3.37,0.0,5
5064,OCEANUSDT,AKROUSDT,0.0,-4.77,-3.37,28.93,5
5065,OCEANUSDT,ALGOUSDT,0.0,-5.26,-3.37,3.35,5
5985,SLPUSDT,ALGOUSDT,0.01,-3.98,-3.37,0.01,5
5984,SLPUSDT,AKROUSDT,0.0,-4.25,-3.37,0.13,5
5592,QNTUSDT,CVCUSDT,0.0,-4.15,-3.37,1307.7,5
5095,OCEANUSDT,CKBUSDT,0.01,-3.84,-3.37,116.3,5
1604,BOBAUSDT,AUCTIONUSDT,0.04,-3.45,-3.37,0.02,5
1531,BCHUSDT,DOGEUSDT,0.03,-3.59,-3.37,3377.29,5
5118,OCEANUSDT,FLMUSDT,0.04,-3.45,-3.37,3.51,5
2844,DARUSDT,ASTRUSDT,0.0,-5.09,-3.37,1.64,5
5907,RNDRUSDT,VGXUSDT,0.0,-4.15,-3.37,12.15,5
3212,ETCUSDT,FLRUSDT,0.04,-3.38,-3.37,1354.73,5
212,10000NFTUSDT,SANDUSDT,0.02,-3.69,-3.37,0.01,5
5641,QNTUSDT,KSMUSDT,0.0,-4.14,-3.37,4.95,5
5122,OCEANUSDT,GLMUSDT,0.0,-5.51,-3.37,1.85,5
6039,SLPUSDT,KLAYUSDT,0.0,-4.29,-3.37,0.01,5
5124,OCEANUSDT,GMXUSDT,0.02,-3.69,-3.37,0.01,5
627,AKROUSDT,MANAUSDT,0.03,-3.54,-3.37,0.04,5
6074,SLPUSDT,STORJUSDT,0.01,-4.07,-3.37,0.0,5
5126,OCEANUSDT,HBARUSDT,0.02,-3.75,-3.37,6.31,5
5643,QNTUSDT,LEVERUSDT,0.01,-3.95,-3.37,70038.08,5
1622,BOBAUSDT,DOTUSDT,0.04,-3.41,-3.37,0.03,5
5114,OCEANUSDT,ETCUSDT,0.0,-5.11,-3.37,0.02,5
5635,QNTUSDT,JSTUSDT,0.0,-4.21,-3.37,4298.15,5
1535,BCHUSDT,GLMRUSDT,0.04,-3.41,-3.37,1245.43,5
2981,DOGEUSDT,ENSUSDT,0.01,-3.98,-3.37,0.01,5
2578,CTCUSDT,ZRXUSDT,0.0,-4.34,-3.37,0.83,5
5926,RPLUSDT,FLOWUSDT,0.01,-4.02,-3.37,51.77,5
2960,DODOUSDT,XLMUSDT,0.03,-3.59,-3.37,0.78,5
5106,OCEANUSDT,DGBUSDT,0.01,-3.97,-3.37,48.61,5
5027,NKNUSDT,ICXUSDT,0.04,-3.45,-3.37,0.52,5
5629,QNTUSDT,INJUSDT,0.01,-3.88,-3.37,13.02,5
5935,RSRUSDT,VGXUSDT,0.01,-3.9,-3.37,0.01,5
634,AKROUSDT,RENUSDT,0.04,-3.43,-3.37,0.23,5
5937,RUNEUSDT,WOOUSDT,0.04,-3.38,-3.37,10.61,5
5938,RUNEUSDT,XTZUSDT,0.03,-3.49,-3.37,2.63,5
793,ALPHAUSDT,CVCUSDT,0.01,-3.91,-3.37,1.09,5
5098,OCEANUSDT,COREUSDT,0.0,-5.45,-3.37,0.71,5
5590,QNTUSDT,CRVUSDT,0.0,-4.21,-3.37,217.36,5
3111,DYDXUSDT,MANAUSDT,0.0,-4.22,-3.37,6.76,5
5173,OCEANUSDT,QTUMUSDT,0.0,-5.3,-3.37,0.15,5
